packet_row,report_date,recall_number,recalling_firm,status,classification,product_type,product_description,reason_for_recall,distribution_pattern,code_info
1,20260527,D-0538-2026,"Safecor Health, LLC",Ongoing,Class II,Drugs,"Atomoxetine Capsules HCL, 10 mg Capsules in unit dose foil strip, strips are packed in cartons of 100, Rx
Only, Pkg by: Safecor, Columbus, OH 43204.  NDC: 64380-474-01",Labeling: Label Mix-Up: Atomoxetine HCl 25mg Capsule incorrectly labeled as Atomoxetine HCl 10mg Capsule.,TX only,Lot #: 25530722
2,20260527,D-0548-2026,IntegraDose Compounding Services LLC,Ongoing,Class II,Drugs,"fentaNYL Citrate, Sterile CADD for Injection, 2,2500 mcg/50mL in Sterile Water, IntegraDose Compounding
Services LLC, 3650 Victorie St N, Suite 900, Shoreview, MN, NDC  71139-6030-1.",Subpotent Drug,Nationwide.,"Lot#: 20260310FEN-1, Exp. Date: 09/06/2026"
3,20260527,D-0545-2026,Zydus Pharmaceuticals (USA) Inc,Ongoing,Class II,Drugs,"Erythromycin Tablets, USP, 500 mg, 30 tablets per bottle, Rx only, Manufactured by: Zydus Lifesciences Ltd.,
Ahmedabad, India, Distributed by: Zydus Pharmaceuticals (USA) Inc., Pennington, NJ 08534; (NDC 70710-1048-3).",CGMP Deviations; presence of N-Nitroso-Desmethyl-Erythromycin above the recommended acceptable intake limit,Nationwide within the U.S,"Lots: a) M411147, Expires: 08/2026; M502100, M502099, Expires: 01/2027."
4,20260527,D-0541-2026,Lupin Pharmaceuticals Inc.,Ongoing,Class II,Drugs,"Liraglutide Injection, 18 mg/3 mL (6 mg/mL), Rx only, Manufactured for: Lupin Pharmaceuticals, Inc., Naples,
FL 34108, Manufactured by: Lupin Limited, Nagpur 441108, INDIA, a) 2 Pens- NDC 70748-346-02; b) 3 Pens - NDC
70748-346-03.",Presence of particulate matter: a white thread-like structure in the cartridge,Nationwide within U.S,"Lots: a) WB00097, WB00094, WB00088, Expires: Jul. 2027; WB00103, Expires: Oct. 2027; WC00016, Expires: Dec. 2027; b) WB00098, WB00092, WB00093, Expires: Jul. 2027; WB00104, WB00106, WB00105, Expires: Oct. 2027."
5,20260527,D-0544-2026,Zydus Pharmaceuticals (USA) Inc,Ongoing,Class II,Drugs,"Erythromycin Tablets, USP, 250 mg, 30 tablets per bottle, Rx only, Manufactured by: Zydus Lifesciences Ltd.,
Ahmedabad, India, Distributed by: Zydus Pharmaceuticals (USA) Inc., Pennington, NJ 08534; a) 30 count bottles
(NDC 70710-1047-3); b) 100 count bottles (NDC 70710-1047-1).",CGMP Deviations; presence of N-Nitroso-Desmethyl-Erythromycin above the recommended acceptable intake limit,Nationwide within the U.S,"Lots: a) M411146, Expires: 08/2026; M502098, M502097, Expires: 01/2027; b) M411145, Expires: 08/2026."
6,20260527,D-0537-2026,Amerisource Health Services LLC,Ongoing,Class III,Drugs,"Primidone Tablets, USP, 50 mg, 100 Tablets (10 x 10 unit dose blister) per carton, Rx only, Distributed by:
American Health Packaging, Columbus, Ohio 43217.   Carton NDC: 68084-202-01; Individual Dose NDC: 68084-202-11",Cross contamination with other products: API contaminated with trace amounts of Acemetacin API.,USA Nationwide,"Lot 1028739, exp 12/31/2027; Lot 1025622, exp 06/30/2027"
7,20260527,D-0534-2026,Golden State Medical Supply Inc.,Ongoing,Class III,Drugs,"Primidone Tablets, USP, 50 mg, 50-count bottle, RX only, Manufactured by: Lannett Company, Inc., Marketed by:
GSMS, Incorporated, Camarillo, CA 93012.  NDC 51407-637-05",Cross contamination with other products: API contaminated with trace amounts of Acemetacin API.,USA Nationwide,"Lot#:  GS066750, GS067084, GS067710, GS067873, Exp 3/31/2028; GS068339, GS068897, Exp 8/31/2028"
8,20260527,D-0535-2026,Golden State Medical Supply Inc.,Ongoing,Class III,Drugs,"Primidone Tablets, USP, 250 mg, 100-count bottle, RX only, Manufactured by: Lannett Company, Inc., Marketed
by: GSMS, Incorporated, Camarillo, CA 93012.  NDC 51407-638-01",Cross contamination with other products: API contaminated with trace amounts of Acemetacin API.,USA Nationwide,"Lot #: GS067909, Exp 4/30/2028; GS068646, Exp 8/31/2026"
9,20260527,D-0553-2026,Wisconsin Pharmacal Company,Ongoing,Class I,Drugs,"MG217 Multi-Symptom Treatment Cream & Skin Protectant (colloidal oatmeal 2%), NET WT 6 oz (170 g),
Manufactured by: Pharmacal 1 Pharmacal Way, P.O. Box 198, Jackson, WI 53037.",Microbial Contamination of Non-Sterile Products: confirmed presence of Staphylococcus Aureus.,USA Nationwide and Bahamas,"Lot #: 1024088, Exp 11/30/2026"
10,20260527,D-0546-2026,UCB Biosciences Inc.,Ongoing,Class II,Drugs,"cimzia (certolizumab pegol), 2x200mg/mL PREFILLED SYRINGES (2 single-dose), Rx ONLY, Manufactured by: UCB
Inc., Smyrna, GA 30080, a) NDC 50474-710-79, b) Professional sample, NDC 50474-710-80; c) 3 cartons, STARTER
KIT, NDC 50474-710-81.",Lack of Assurance of Sterility,US Nationwide.,"Lot: CVZFW, Exp.:2026-JUL-04;          CVZYG, Exp.: 2026-AUG-19;          CWSYT, Exp.: 2026-OCT-22;          CWDZY, Exp.:2026-NOV-20;          CWTSD, Exp.:2026-DEC-11;          CVTFK, Exp.:2026-JUL-04;          CVTSN, Exp.: 2026-AUG-19;          CWVGP. Exp.:2026-DEC-11;          CVWXT, CVWXV, CVWXW, Exp.:2026-JUL-04;          CWHFF, Exp.: 2026-OCT-22;          CWNDS, Exp.: 2026-DEC-11."
