customer_id,carton_id,sku,units_per_carton,unit_value_usd,total_value_usd,stow_tier,stow_section
LINNEA,L01,TEAK-COFFEE-TABLE-90,1,2000.00,2000.00,bottom,back
LINNEA,L02,TEAK-COFFEE-TABLE-90,1,2000.00,2000.00,bottom,back
LINNEA,L03,TEAK-COFFEE-TABLE-90,1,2000.00,2000.00,bottom,back
LINNEA,L04,TEAK-COFFEE-TABLE-90,1,2000.00,2000.00,bottom,back
LINNEA,L05,TEAK-COFFEE-TABLE-90,1,2000.00,2000.00,mid,back
LINNEA,L06,TEAK-COFFEE-TABLE-90,1,2000.00,2000.00,mid,back
LINNEA,L07,TEAK-COFFEE-TABLE-90,1,2000.00,2000.00,mid,back
LINNEA,L08,TEAK-COFFEE-TABLE-90,1,2000.00,2000.00,mid,back
LINNEA,L09,TEAK-COFFEE-TABLE-90,1,2000.00,2000.00,mid,middle
LINNEA,L10,TEAK-COFFEE-TABLE-90,1,2000.00,2000.00,mid,middle
LINNEA,L11,TEAK-COFFEE-TABLE-90,1,2000.00,2000.00,mid,middle
LINNEA,L12,TEAK-COFFEE-TABLE-90,1,2000.00,2000.00,mid,middle
JONAS,J01,RUBBER-GASKET-AUTO-PACK50,100,12.00,1200.00,top,front
JONAS,J02,RUBBER-GASKET-AUTO-PACK50,100,12.00,1200.00,top,front
JONAS,J03,RUBBER-GASKET-AUTO-PACK50,100,12.00,1200.00,top,front
JONAS,J04,RUBBER-GASKET-AUTO-PACK50,100,12.00,1200.00,top,front
JONAS,J05,RUBBER-GASKET-AUTO-PACK50,100,12.00,1200.00,top,front
JONAS,J06,RUBBER-GASKET-AUTO-PACK50,100,12.00,1200.00,top,front
JONAS,J07,RUBBER-GASKET-AUTO-PACK50,100,12.00,1200.00,top,front
JONAS,J08,RUBBER-GASKET-AUTO-PACK50,100,12.00,1200.00,top,front
MAHMOUD,M01,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,bottom,back
MAHMOUD,M02,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,bottom,back
MAHMOUD,M03,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,bottom,back
MAHMOUD,M04,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,bottom,back
MAHMOUD,M05,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,bottom,middle
MAHMOUD,M06,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,bottom,middle
MAHMOUD,M07,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,mid,middle
MAHMOUD,M08,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,mid,middle
MAHMOUD,M09,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,mid,middle
MAHMOUD,M10,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,mid,front
MAHMOUD,M11,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,mid,front
MAHMOUD,M12,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,mid,front
MAHMOUD,M13,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,mid,front
MAHMOUD,M14,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,mid,front
MAHMOUD,M15,COTTON-LINEN-DRESS-MED,50,60.00,3000.00,mid,front
OCEANTECH,O01,SS316-BOAT-CLEAT-8IN,20,150.00,3000.00,mid,middle
OCEANTECH,O02,SS316-BOAT-CLEAT-8IN,20,150.00,3000.00,mid,middle
OCEANTECH,O03,SS316-BOAT-CLEAT-8IN,20,150.00,3000.00,mid,middle
OCEANTECH,O04,SS316-BOAT-CLEAT-8IN,20,150.00,3000.00,mid,middle
OCEANTECH,O05,SS316-BOAT-CLEAT-8IN,20,150.00,3000.00,mid,middle
OCEANTECH,O06,SS316-BOAT-CLEAT-8IN,20,150.00,3000.00,mid,middle
VERDE,V01,LED-GARDEN-PATH-LIGHT-12PK,40,37.50,1500.00,bottom,back
VERDE,V02,LED-GARDEN-PATH-LIGHT-12PK,40,37.50,1500.00,bottom,back
VERDE,V03,LED-GARDEN-PATH-LIGHT-12PK,40,37.50,1500.00,bottom,middle
VERDE,V04,LED-GARDEN-PATH-LIGHT-12PK,40,37.50,1500.00,mid,back
VERDE,V05,LED-GARDEN-PATH-LIGHT-12PK,40,37.50,1500.00,mid,back
VERDE,V06,LED-GARDEN-PATH-LIGHT-12PK,40,37.50,1500.00,mid,middle
VERDE,V07,LED-GARDEN-PATH-LIGHT-12PK,40,37.50,1500.00,mid,middle
VERDE,V08,LED-GARDEN-PATH-LIGHT-12PK,40,37.50,1500.00,mid,front
VERDE,V09,LED-GARDEN-PATH-LIGHT-12PK,40,37.50,1500.00,mid,front
