packet_row,report_date,recall_number,recalling_firm,status,classification,product_type,product_description,reason_for_recall,distribution_pattern,code_info
2001,20250205,F-0457-2025,Clements Foods Co,Terminated,Class III,Food,"Keith Valley mustard, net 1 gal, Distributed by: Ben E Keith Food Ft Worth, TX, UPC 046045062467; Red Boy
brand mustard, Net 1 GAL., Distributed by Clements Food Company Oklahoma City, OK 73116, UPC 071735128154",Ingredient (mustard seeds) tested positive for Salmonella,"Distributed to customers in KS, TX, OK, AR","4341CF, 4342CF, 4343CF, 4344CF, 4346CF; CF4341, CF4342, CF4344, CF4346"
2002,20250205,F-0445-2025,"GBC Food Services, LLC dba Yummi Sushi",Terminated,Class I,Food,Vegetable Ranch Tray No Dip Small 	850054894335	19.5 oz (553g),Potential Salmonella,CO,Purchase Date: 11/22 to 11/29/2024
2003,20250205,F-0441-2025,"GBC Food Services, LLC dba Yummi Sushi",Terminated,Class I,Food,Family Garden Salad 	850054894601	24 oz (679g),Potential Salmonella,CO,Purchase Dates: 11/22 to 11/29/2024
2004,20250205,F-0439-2025,"GBC Food Services, LLC dba Yummi Sushi",Terminated,Class I,Food,Southwest Salad 	850065403069	Net Wt: 4oz (113g),Potential Salmonella,CO,Purchase Date: 11/22 to 11/29/2024
2005,20250205,F-0432-2025,Pacific Coast Producers,Ongoing,Class II,Food,"Diced Bartlett Pears In Extra Light Syrup, 105 OZ (6 LB 9 OZ), packed in a metal can, hermetically sealed",Potential contamination with foreign objects.,"KY, MI, OH, PA.",6PDL 05 A2644
2006,20250205,F-0455-2025,Iovate Health Sciences USA Inc.,Terminated,Class II,Food,"Alpha Test 120 count Black labeled plastic bottle, 12 bottles per case of 120 count capsules each per bottle,
Store in a cool, dry place (60 F to 80 F), UPC 6-31656-60676-8, SKU0001191, SKU0002075",Presence of cathine in product,"Domestic and foreign distribution:NC, CA, TX, NJ, VA, NV, PA, IN, NY, CA, IL,MS, KY, MI,SC, WA, CT, FL, OH, WI, DE, LA, TN, MO, UT, KH, GA, KS, CO, IA, AZ, OR.  Foreign distribution: ZA, PH, IS, KZ, AE","Expiration Date and Lot Codes:  March 21, 2027 (Lots 24A125, 24B059, 24B060)  March 22, 2027 (Lot 24C112) July 3, 2027 (Lots 24F164, 24G112) July 4, 2027 (Lot 24E288) July 5, 2027 (Lots 24G243, 24H207)"
2007,20250205,F-0442-2025,"GBC Food Services, LLC dba Yummi Sushi",Terminated,Class I,Food,Individual Greek Salad 	850054894649	12 oz (340g),Potential Salmonella,CO,Purchase Date: 11/22 to 11/29/2024
2008,20250129,F-0410-2025,Cal Yee Farm LLC,Terminated,Class II,Food,"Cal Yee's Dried Mangos with Chili (8-oz, 1-lb plastic bags)",Undeclared yellow #5,"2 retail stores (CA) and online/phone orders (CA, PA).",No codes
2009,20250129,F-0419-2025,Cal Yee Farm LLC,Terminated,Class II,Food,"Cal Yee's Butter Toffee Almonds (8-oz, 1-lb plastic bags) Boa Vista Butter Toffee Almonds (6-oz plastic bag)",Undeclared milk,"2 retail stores (CA) and online/phone orders (CA, PA).",No codes
2010,20250129,F-0421-2025,The Granola Bar,Terminated,Class II,Food,"The Granola Bar brand The OG Bar; 4 oz; Ingredients: Oats, brown sugar, honey, almonds, butter, olive oil,
cashews, coconut flakes, chia seeds, vanilla extract, kosher salt; Contains: Tree nuts. Baked in a facility
that also processes wheat, eggs, dairy, soy and nuts.",Product contains undeclared milk and soy.,"CT, NY",No codes.
2011,20250129,F-0405-2025,MR BING FOODS INC.,Terminated,Class II,Food,"Mr. Bing brand Sriracha Chili Sauce; 9 oz and 18 oz, in clear PET bottle with green cap; UPC 850044819072 and UPC 850044819058",Product may contain spoilage organisms.,"DE, NH, NY NJ, MD, PA, FL, MI, TX",9 oz Lot/BB:  1. 1307024-01 1/12/2026 2. 1307024-02 1/12/2026 3. 1407024-01 1/13/2026 4. 1407024-02 1/13/2026 5. 1507024-01 1/14/2026 6. 1607024-01 1/16/2026  18 oz Lot/BB: 1. 1607024-01 1/15/2026 2. 1607024-02 1/16/2026 3. 1707024-01 1/16/2026 4. 1707024 02 1/16/2026 5. 1707024 03 1/16/2026
2012,20250129,F-0406-2025,"Horizon Organic Dairy, LLC",Terminated,Class II,Food,"Horizon Organic Aseptic Plain Whole Milk 8OZ 12 Pack. Refrigerate after opening.  With the following UPC:
3663207113 (12 pack); 3663207127 (single unit). Distributed by: Danone US, LLC Broomfield, CO 80021.  HOD
(Horizon Organic Dairy) #: 140236",Potential for premature product spoilage during shelf life.,"The recalled product was distributed in Arizona, California, and Nevada.","Lot Code Expiration: BEST BEFORE/BY 03 MAR 2025, 04 MAR 2025, 06 MAR 2025, 07 MAR 2025  Best By/Before: 03 MAR 2025, 04 MAR 2025, 06 MAR 2025, 07 MAR 2025"
2013,20250129,F-0416-2025,Cal Yee Farm LLC,Terminated,Class I,Food,"Cal Yee's Yogurt Coated Almonds (8-oz, 1-lb)",Undeclared milk,"2 retail stores (CA) and online/phone orders (CA, PA).",No codes
