packet_row,report_date,recall_number,recalling_firm,status,classification,product_type,product_description,reason_for_recall,distribution_pattern,code_info
1001,20250820,H-0472-2025,Albertsons Companies LLC,Terminated,Class I,Food,Jewel Osco CLUB SANDWICHES WITH SALAD,Potential contamination with Listeria monocytogenes.,"Jewel Osco products sold in IA, IL, and IN.  Albertsons, Randalls, and Tom Thumb products distributed in AR, LA, OK, and TX.",Jul 16 25; Jul 17 25; Jul 18 25; UPC: 29125900000
1002,20250820,H-0452-2025,"Jagpreet Enterprises, LLC. dba Sukhi's Gourmet Indian Foods",Terminated,Class II,Food,"Sukhi's, TIKKA MASALA INDIAN CURRY SAUCE, NET WT 3 OZ., UPC 7-67226-00163-0, DISTRIBUTED BY: SUKHI'S GOURMET
INDIAN FOODS 25823 CLAWITER ROAD, HAYWARD, CA 94545 USA",Potential contamination with foreign objects (metal pieces).,"AR, AZ, CA, CO, FL, GA, HI, IA, ID, IL, IN, KS, LA, MA, MD, MI, MN, MO, NC, NJ, NM, NV, NW, NY, OH, OR, PA, SC, TN, TX, UT, VA, WA, WI",Lot #: 120843; 121306; 121363; 121364; 121689; 121792; 121793; 122043; 122362; 122363; 122726; 123932; 124188; 124728; Use by: 04/17/26; 06/09/26; 06/19/26; 06/28/26; 08/12/26; 09/13/26; 11/16/26; 12/25/26
1003,20250820,H-0536-2025,Quesito El Establo,Terminated,Class I,Food,"Quesito El Establo brand Spanish Cheese QUESITO COLOMBIANO; INGREDIENTS: Milk, Cheese Cultures, Salt, Vitamins
C and D; INGREDIENTES: Leche, Cuajo, Sal, Vitaminas C y D; NET WT. 1 LB.; KEEP REFRIGERATED","Product was manufactured and held under insanitary conditions. Product may be contaminated with
Listeria monocytogenes.",MA,All product codes.
1004,20250820,H-0469-2025,"Tropicale Foods, LLC",Ongoing,Class II,Food,Helados Mexico Minis Variety Paletas 12-Count 18oz UPC:6-82082-61215-1,Product label includes the ingredient CREAM but does not include Milk as the source.,Nationwide distribution,Best By Date: 12/31/2026 - 5/2/2027
1005,20250820,H-0485-2025,Albertsons Companies LLC,Terminated,Class I,Food,Randalls SALAD SANDWICH 12 INCH TRAY,Potential contamination with Listeria monocytogenes.,"Jewel Osco products sold in IA, IL, and IN.  Albertsons, Randalls, and Tom Thumb products distributed in AR, LA, OK, and TX.",Jul 16 25; Jul 17 25; Jul 18 25; Jul 23 25; Jul 24 25; Jul 25 25; Jul 26 25; Jul 27 25; Jul 28 25; UPC: 27841500000
1006,20250820,H-0495-2025,QST Ingredients and Packaging,Terminated,Class II,Food,Reduced Sodium Roast Beef Rub (Serv-Rite) NET WT: 50 lb UPC (QST# 6313),Product may contain small metal fragments due to contaminated onion powder ingredient used in manufacturing.,Product was distributed to 4 different customers who either use recalled finished product for ingredient in further processing or repack for retail sales.  4 customers are located in Southern California with the remaining customer in Texas.,"Lot numbers: 092251, 112251, 133251, 160251, 181251"
1007,20250820,H-0455-2025,"Shang Hao Jia, Inc",Terminated,Class III,Food,"Soda Biscuit (Quinoa Chia Seed Flavor), Net Wt: 360g/12.07oz; Shelf life: 10 months; Manufacturer: Zhejiang
Dinggian Industrial Co., Ltd. Importer: Shang Hao Jia., Inc. UPC: 6 970425 865048","Various snack cracker products are mislabeled and do not declare all allergen ingredients (Whole
Milk Powder and wheat).",6 wholesale supermarket distributors locate in California.,best by date is lot number 20241023
1008,20250820,H-0501-2025,"Jayone Foods, Inc.",Terminated,Class II,Food,"Frozen Oyster Meat (IQF), Cert No. KR-15-SP; Processor Name: JBR KR-15-SP;  Harvest Date: Feb 06, 2025 Shucked
Date: Feb 07,2025 Expiration: 02/06/2027 UPC: 8809366955717",Frozen Oyster product is potentially contaminated with Norovirus,Distribution is limited to 1 wholesale distributor and 3 supermarket locations in Southern California.,Lot Code: B250206
1009,20250820,H-0544-2025,"Reser's Fine Foods, Inc.",Terminated,Class I,Food,"Reser's Tuna Salad, net wt. 5lb. Foodservice item. Product is packaged in white plastic tub and lid with
sticker. Keep Refrigerated. This item contains ingredient Pickle Relish.  Distributed by Reser's Fine Foods,
Incl, Beaverton, OR.  UPC on 5lb. TUB/Lid: 71117 11405 GTIN on Master Case (2/5# per case):  1007111711405","Tuna Salad products are recalled due to potential contamination with Listeria monocytogenes
because products containing Newly Weds Foods  recalled Japanese Style Breadcrumbs.","Distributed in AR, CO, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, ND, NE, NH, NJ, NM, NY, OH, OK, PA, TN, TX, VA, and WI.",Lot 1420046646 Use By: SEP/1/2025
1010,20250820,H-0441-2025,"Aceto US, L.L.C",Ongoing,Class III,Food,"a.) Actylis brand Lithium Orotate 4% packaged in HDPE Liner in a 25kg carton  b.) Actylis brand Lithium
Orotate 9% packaged in HDPE Liner in a 25kg carton",4% Lithium Orotate product may only contain 3% and 9% Lithium Orotate product may contain 4.45%,"NJ, NC, CA, UT, MT, FL, AZ, NC, NY",a.) SKU: TLIOR0104 and Lot Numbers: T250464; T250265; T250184; T240967; T240619; T240452; T240346; T230944; T20230304  b.) SKU: TLIOR0109 and Lot Numbers: T250409; T250353; T250310; T250124; T241240; T240936; T240560; T240125; T20230223; T20230403; T20220701; T20221002; T20221204
