packet_row,report_date,recall_number,recalling_firm,status,classification,product_type,product_description,reason_for_recall,distribution_pattern,code_info
1,20260527,H-0814-2026,"PS Seasoning & Spices, Inc.",Ongoing,Class I,Food,"Ellsworth Sour Cream + Onion Seasoning, Part #:  180000113.  Net Wt 25.00 lbs (11.3kg).  PS Seasoning & Spices
216 W Pleasant St Iron Ridge WI  53035",Product was made with milk powder recalled by the supplier due to Salmonella contamination.,Nationwide,Lot #: 2026-51127
2,20260527,H-0835-2026,JOHN B SANFILIPPO & SONS INC,Ongoing,Class I,Food,"Good & Gather Mexican Street Corn Trail Mix 8 oz bag UPC 085239270240, 8 bags per case",potential presence of Salmonella,Nationwide,BEST BY 23/MAR/2027 GY
3,20260527,H-0844-2026,Ghirardelli Chocolate Company,Ongoing,Class I,Food,"GHIRARDELLI SWEET GROUND POWDER WHITE CHOCOLATE FLAVORED NET WT 50oz (3lbs 2oz) 1.41kg  Distributed by
Ghirardelli Chocolate Company, San Leandro, CA 94578, U.S.A.  UPC: 747599620386",Potential contamination with Salmonella.,"U.S. Distribution Pattern: AK, AZ, CA, FL, GA, ID, IL, IN, KY, MD, ME, MN, NC, NJ, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI. Foreign Distribution Pattern: Canada, Guatemala, Japan, Philippines, United Kingdom, South Korea.","Lot, Best if Used By: S394260, 7/31/2027; S494260, 7/31/2027; S594260, 7/31/2027."
4,20260527,H-0788-2026,LIQUID BLENZ CORP,Ongoing,Class II,Food,Menopause Bully 16 oz and 32 oz.,May be under-processed resulting in growth of Clostridium botulinum and lists health claims.,NY and online sales,16oz with upc: 860010984420 & 32oz with upc: 860010984437 Lots: not provided
5,20260527,H-0822-2026,Solina U.S. Holding,Ongoing,Class I,Food,"Solina 6036195 Ranch Seasoning, 50lb bag",potential to be contaminated with Salmonella,MI WI PA IL GA CA KS,"Lot: 334386, 334882-334883; Use by: 06/20/2026, 07/14/2026"
6,20260527,H-0812-2026,"Fontana Flavors, Inc",Ongoing,Class I,Food,"VG7274D1 Natural Cream of Mushroom Type Flavor, Net Weight:  50 lbs. bag.  Item #:  R5302.    For Further
Processing.  Fontana Flavors, Janesville, WI.",Product was made with milk powder recalled by the supplier due to Salmonella contamination.,"IL, TN, and outside the US to Canada","Lot Numbers:  110625F06, 112425F08, 032626F07."
7,20260527,H-0836-2026,JOHN B SANFILIPPO & SONS INC,Ongoing,Class I,Food,"Fisher Tex Mex Trail Mix 30 oz plastic jar UPC 070690275941, 6 jars per case",potential presence of Salmonella,Nationwide,BEST BY 08/06/27
8,20260527,H-0808-2026,Wellnov Supplements LLC,Ongoing,Class II,Food,"Liposomal Sleep Spray. Dosage: 6 sprays Liquid. Packaging: Aluminum bottle. 30 ml. Firm Address: VitaminAlly
LLC Chandler, AZ 85225","Deviations from current Good Manufacturing Practices (cGMP) that could lead to bacterial
pathogen and possible C. Botulinum concerns.",Products were distributed nationwide and the United States Territory of Puerto Rico.,Distribution Dates: 10/01/2025-04/08/2026 Lot Number SL0925 Expiry Date 09/2027
9,20260527,H-0823-2026,Solina U.S. Holding,Ongoing,Class I,Food,"Solina 6036443 Cheddar Cheese Powder Seasoning, 50lb bag",potential to be contaminated with Salmonella,MI WI PA IL GA CA KS,Lot:335491; Use By: 07/14/2026
10,20260527,H-0817-2026,"PS Seasoning & Spices, Inc.",Ongoing,Class I,Food,"Blackstone Parmesan Ranch Seasoning, Net Wt 7.3 oz (207g).  UPC 7 17604-04106 2.  Manufactured for North
Atlantic Imports, LLC, Logan, UT  84321.",Product was made with milk powder recalled by the supplier due to Salmonella contamination.,Nationwide,Lot #: 2025-43282  Exp 07/04/2027 or 07/05/2027 Lot 2025-46172  Exp 08/05/2027  Lot 2026-54751  Exp 08/14/2027
